Title	Description
Chikanti	The Chikanti are a sentient Xenos species.[1a] They are described as being squat, barrel-shaped biped creatures with four arms, mottled brown skin[1a] and lip-less[1b] fish-like heads. The Chikanti also have moist eyes[1a], flat noses, double rows of wide teeth and big, flat feet that have fringes of toes running most of the way around them[1b]. They have voices that sound like broken rocks[1a] and their society has a pantheon of gods.[1c]
Vampires	Vampires are polymorphic creatures that are native to the Warp. These entities do not hold a homeworld and the reasons for their evolution into a parasitic existence within alien societies is unknown. They became entrenched within legends on Old Earth and were later regarded as being discredited myths as well as legends. However, in reality, their existence was real and they were known to infiltrate societies where they masqueraded as their chosen race and sought positions of power. At some point, a Warp-spawned Vampire had risen into power on the Hive World Cephian IV. The Black Templars were known to have battled the creatures, with Helbrecht slaying the entity with this act seeing him inducted into the ranks of the Sword Brethren. The natural form of a vampire is a humanoid bat-shaped creature. However, they are able to alter their metabolism to mimic the races that they live amongst thus allowing them to blend into their surroundings. As they live in the manner of their chosen race, a vampire is not easily singled out by the societies they have infiltrated. Vampires are known to possess psychic powers that are comparable to Humans and maintain their existence by absorbing the lifeforce of other creatures. They are able to drain this energy through prolonged physical contact though are able to gain some sustenance from normal food or drink. Completely drained victims become something like zombies under Vampire control. By nature, vampires are known to crave power among intelligent races and even regard other members of their kind as a rival thus making them a threat.
Caradochian	The Caradochian are members of a fickle, winged race that sell their services to the highest bidder.
Thesstrian Flesh-takers	The Thesstrian Flesh-takers are a Xenos species.
Gaanerth Pact	The Gaanerth Pact are a Xenos civilization living under Eldar protection in the Laevenir Archipelago. The race is known to have a caste society consisting of commanders, slaves, and various "wartypes" which include designations such as 'Bloodlashers', 'Sagitus', 'Venox', and 'Aspus'. These forces are divided into units known as Clews, Blooms, and Devotions. They are currently engaging the Tyranids in War Zone Laevenir.
Nightsider	Nightsiders (Homo Sapiens Tenebris), are a strain of Abhuman found in the Imperium. Having evolved on worlds or parts of planets shrouded in darkness, Nightsiders have a variety of particular attributes including echolocation, tapetal reflexes which allow them to see almost in total darkness, chemiluminescence which enable them to "glow", and heightened olfactory and auditory senses. As a result, they are sometimes used in Imperial Guard Regiments for use during underground or night operations. However their physical attributes (including oversized eyes to no eyes at all, colourless or transparent skin, luminous appendages, etc.) have made them reviled and mistrusted by the very people they seek to serve.
Genestealer Hybrid	A Genestealer Hybrid is any being infested by a Genestealer or the progeny of such an individual. When infected by a Genestealer, a person's offspring are hybrids with dominant Genestealer traits. These hybrids can infect others, continuing the cycle until the fourth generation, when they appear almost entirely Human. Fourth-generation hybrids reproduce normally but can give birth to Humans, hybrids, or purestrain Genestealers. Alarmingly, Human parents seem unaware of their children's monstrous nature, possibly due to psychic influence. Genestealers are formidable enemies, as a single one can initiate an infection that spreads rapidly, threatening entire races. Purestrain Genestealers cannot use tools due to mental limitations, but their hybrid descendants, particularly later generations, can use weapons and equipment, making them even more dangerous.
Barasonilash	The Barasonilash are a sentient Xenos species of four-armed bipeds with short legs, six eyes and a gill-like slit in place of a nose. Their existence may also predate the origins of the Aeldari, making them possibly among the oldest sentient species known to exist. This theory was concocted by the Rogue Trader and Xenologist Janus Draik, who discovered the Barasonilash were referenced in both Aeldari and Imperial sources. These include several translated ancient Aeldari myths and legends that refer to wars and events that predate their own origins, while the Imperial Xenographia Universalis contains reports of Adeptus Mechanicus Explorator Fleets that encountered Barasonilash Seers. Given the similarity in the description given of the Barasonilash in both Aeldari and Imperial sources, Draik is inclined to believe they are the same species. However if this is true, the Barasonilash may have since gone extinct, as Draik has been unable to find recent records of any encounters with the species.
Cryptos	The Cryptos are a Xenos race. They appear as a strange gaseous cloud with an eerie greenish glow filled with half-formed shapes, without solid physical shape and able to pass through solid matter, and they are able to take human bodies as hosts.
Cimmeriac	The Cimmeriac were a xenos race that fought Hive Fleet Jormungandr at the side of High Admiral Vortigern Hanroth with their ships, Cimmeriac Shadowcruisers. Their civilization was destroyed less than five years later by the same High Admiral.
Scalies	Scalies are a mutant strain of abhuman found in the underhive which have stabilised over time, although there is still a lot of variation, and are not as stable as other abhumans found in the Imperium, like Ogryns, Ratlings, and Squats.[1a] Scalies are massive reptilian mutants almost as broad as they are tall. Their durability and strength are legendary among the people of the Underhive and have a fearsome reputation. Like some reptiles they have the ability to regenerate lost limbs and their thick skin acts as a natural armour.[1a] They are rarely seen but they are at their most numerous in the Underhives of Necromunda. They are undoubtedly intelligent but seldom speak due to their twisted mutated necks and voice boxes having changed beyond the ability of normal human speech. Very little is known about their origins or if there are hidden clans or tribes of Scalies in the most severely polluted badzones in the Underhive. They are mainly found in the employ of Scavvies. Why they choose to work along side them is unknown. No Scavvie Boss or King worth his salt will be seen without one or two Scalies in their gang.[1a]
Drepanes	Drepanes are an abhuman strain hailing from the world of Azetium IV. They are known to have ‘sickle-like’ heads.
Elohim (Species)	The Elohim were a mysterious xenos species that once inhabited, among other worlds, the planet Aghoru. In the legends of the Aghoru people, the Elohim evolved their forms to such perfect physical beauty that they fell in love with their own appearances. They had the ability to change the forms of plants, thus allowing them to build enormous organic constructs, scattered around their vast empire of worlds.[1d] Having attained such power they devoted their lives to hedonism and the exploration of pleasure. Eventually, the powers they harnessed in pursuit of these pleasures turned on them, and led to the almost-instantaneous and nearly-complete extinction of their race.[1d]
Ecto-Saurids	The Ecto-Saurids were a Xeno species that were driven to extinction, when their Homeworld of Verikhonia was invaded by the Iron Warriors Legion during The Great Crusade.
Empothanes	The Empothanes are a Xenos species that has clashed with the Imperium.
Exodite	The Exodites are the Eldar who abandoned their homeworlds before the Fall, establishing new cities on Maiden Worlds of the Eldar Empire in order to escape the growing decadence of their civilization. Protected from Slaanesh's predation by their World Spirit, they purposefully live a physically rigorous life[2a], expressing the intensity of their Aeldari nature through a powerful loyalty to their clans and a strong determination to acheive the clan's objectives. They are known for the martial superiority of their Dragon Knights. Beginning in M30 as the Eldar Empire neared its Fall, the degeneration of Eldar society leading to the Fall did not go wholly without resistance. Far-sighted individuals began to criticize the decadence of their citizens and warn against the newly formed cults[2b] and the abandonment of the Eldar Gods. Mostly ignored or else treated as narrow-minded fools and fanatics by their fellow citizens, as society collapsed they became resolute that this would be a decline without end.[2b] They were the ones still untainted by the touch of Chaos, and by now they were few. They would form a new group of doomsayers and survivalists, deciding to leave the Eldar worlds and settle planets far from Eldar civilization among the Lilaethan, the Maiden Worlds[2b] seeded at the height of the empire by Turella Dandramensha Dominion Genesis ships, abandoning their homeworlds in a series of migrations called the Exodus[2b] and for their exodus they were named Exodites. The first Exodites would launch from Hiron-athela and assortment of spacecraft would follow, including Craftworlds built from the habitat towers, domes, and Webway pylons that would become the foundation of new cities. The Exodites would also bring with them the tremendous war-machines of the Eldar Knights. The Exodites travelled far away from their collapsing civilization, mostly eastward, settling many, often harsh, worlds – a place of safety (for most) beyond the psychic implosion that would wipe out most of the Eldar race and its empire[2b] in M31.
Draxian	The Draxian are a race of aliens that form part of the Draxian Hegemony, a fledgling empire that's beginning to conquer Imperial space.
Spinedorians	The Spinedorians are one of the minor alien races of a galaxy. A cluster of this race lived on the planet Urk in the period between the Dark Age of Technology and the Great Crusade.
Malgreth	The Malgreth are a Xenos species. Sightings of malgreth are known to fall within the remit of the Deathwatch to investigate.
Enoulians	The Enoulians are a race of humanoids believed to have originated from the Halo Stars but are occasionally encountered in the Calixis Sector. Enoulians are smaller than baseline humans, being on average 1.5m tall with a slight build. They also have yellow skin that exudes a lubricating material that allows them to slip free from any attempt to capture them. They do not have externally developed ears or noses like other humanoid creatures such as Humans or Eldar instead having simple slits where those organs should be.
Galthite	The Galthite are a saurian Xenos species from the Oenorian Inner Systems. They are the creators of the Galthite lacerator, a fist-like weapon capable of rending flesh with ease. Similiarly, Siege Claws used by Chaos Decimators are noted to resemble certain blades used by the Galthite serrator-assissins. In one of wars, the Red Talons Chapter and their Contemptor Dreadnought Skara Brae fought with this race. Some of the species, also joined the Warband of the Dragon Warriors Sorcerer Lord Nihilan and took part in his invasion of the Salamanders' Homeworld Nocturne.
Breg-shei	The Breg-shei were a Xenos species that lived on the planet Farinatus Maximus. This world was the scene of a joint campaign during the Great Crusade by the Raven Guard and Night Lords. This campaign is called the Farinatus Extermination. Millennia later, Imperial colonists on Regnan Impri were terrorised by Breg-shei. In response, Iron Hands pursued the Breg-shei through Regnan Magna's rings and moons. On Regnan Drey, the Breg-shei conducted an ambush by laying in wait in cyst-nests under the regolith. The Breg-shei were described as insectoid in apparence with metal maws and long sharp stabbing appendages. They lived in something called "sanctuary-nests" and operated as a hivemind.
Longshank	The Longshanks, also known as Homo Sapien Elongatus, are a recognized strain of abhuman within the Imperium Longshanks are unnaturally tall abhumans who reside on worlds with low levels of gravity. In appearance, the Longshanks are bald with very pronounced eyes and have unnaturally long legs when compared with baseline humans.[2a] Longshanks serve in a variety of Auxilia Regiments of the Imperial Guard, where they tower over others like giants. When heavily armed and armoured, they can make an imposing sight, while their long strides allow them to cross difficult terrain at great speed. However, their lofty height makes them easy targets for enemy fire.
Chromes	The Chromes were a race of metallic insectoid Xenos encountered by the Imperium in M32.[1a] Their total numbers were estimated as near 88 billions[1b] and they have been encountered on sixty-seven worlds (including Ardamantua). According to Magos Biologis investigations Chromes were not harmless, but also not a naturally aggressive species. This Xenos species was called "Chromes" because of the silvery metallic finish of their chitin armour.[1c] In appearance, they resembled human-sized insects with impressive speed and long forelimbs. They were armoured around their heads, necks and backs, and made noises compared to broken cogitators.[1c]
Lok'kroll	The Lok'kroll were a Xenos race inhabiting regions of Ultima Segmentum, specifically near the Storm of the Emperor's Wrath. Over the centuries, the Lok'kroll had carved out their own empire and were a plague upon Imperial colonists and mining outposts in the area. Described as hulking invertebrates, the entire race was wiped out in the Lok'kroll Xenocide in 119.M37. The genocidal campaign was led by the Novamarines.
Jehangir	The Jehangir are a savage Xenos species, that terrorized the Teras of Piruz region and the Cowled Wardens Chapter was nominally tasked with purging them. However, sometime after the Dark Angels' Primarch Lion El'Jonson awoke in M42, he led the Successor Chapter to a final victory over the Xenos.
Khoasps	The Khoasps are a Xenos species.
Cythor Fiends	The Cythor Fiends (classisfied as Homindae crystallis by the Imperium) are a mysterious Xenos race that previously inhabited the Ghoul Stars. The Cythors have spindly limbs and vile faces, elongated and inhuman. They live in the fortresses with sheer walls of glimmering crystal and used some uncanny weapons. According to the Death Spectres, the Cythors are not alive in the sense humans would understand it. Cythor Fiends use small silver discs that when activated causes them to shatter apart and reform into deadly crystals that quickly slash the throats of their victims. These mobile crystals can become quite small, and seemingly possess the essence of the Fiend. In addition, the Cythors employ unique warships, with one known class being the Pinion Class Stealth Frigate.
Dracolith	The Dracolith are a race of crystalline aliens, that form part of the Church of Dracolith, a fledgling empire that is beginning to conquer Imperial space. The Dracolith were at one point found in the Askellon Sector before they were driven out by the Imperium many centuries ago. One of their weapons, the crystralline projector, shares characteristics with the Decimator Stormlaser encouraging theories within the Inquisition of hybridisation.
Phenaem	The Phenaem are a Xenos species, that build tunnel structures that contain hydrogen-rich vents. The 3rd Saturnyne Rams of the Solar Auxilia, later used that against the Xenos on Hekrun, during the Great Crusade, by using Volkite weaponry to ignite the vents. The resulting explosions not only completely destroyed the Xenos structures, but also killed all of the Phenaem that dwelled within them.
Tanaril	The Tanaril are nightmarish Xenos who fought the Ultramarines Legion during the Great Crusade.
Scandrane	The Scandrane were a Xenos species that clashed with the Imperium during the Great Crusade. Their Queen was killed in battle by the World Eaters Primarch Angron.
Ghoresh	The Ghoresh were a Xenos species, that was exterminated by the Brazen Beasts Warband.
Loxatl	Loxatl a race of sinuous, non-humanoid quadrupeds evolved from amphibian forms. They are commonly found as mercenaries in service of Blood Pact armies in the Sabbat Worlds region[2a], but they have been seen as far the Maelstrom, Jericho Reach and in the Eye of Terror. In appearance they resemble a slimy-skinned, scale-less Terran Komodo Dragon, with a broad toothy head with yellow eyes (some varieties have been encountered with red, pupil-less eyes), and a flickering purple tongue that constantly tastes the air. Their natural environment is under water - outside of water, their vision, hearing and sense of smell are impaired, and they rely on their powerful senses of taste and vibration to hunt on land, making them excellent scouts and trackers, as they can taste the presence of enemies from kilometres away and feel their location through the vibration of their heartbeat or footsteps.
Brain Boyz	The Brain Boyz are believed to be an ancient subspecies of Greenskins that are related to the Orks and were believed to be a master or ruling caste of their kind who shared a similar physique with their cousin species. Ork legend (such as it is) is generally passed down by the Runtherds. They speak of a legendary caste of greenskins who created the Orks of today. This ancient race was extremely intelligent, and held dominion over the Ork castes. They were much smaller than their servants, so they bred the Orks to be as strong and fierce as possible to protect them from predators and invaders. It was believed that this group was the driving force behind their civilisation and were responsible for developing their technology as well as directing the different castes. There is even some speculation that both Orks and Gretchins may have been specialised mutants that were deliberately created by the Brain Boyz to serve certain duties, though it believed that the truth of this will never be known for certain. Regardless, it is known that the Brain Boyz died out long ago and the Orks inherited their civilisation to the point that this ruling caste become little more than legend. According to Orkish beliefs, the Brain Boyz died from a great plague which ran across many centuries that caused their numbers to dwindle and eventually led to their extinction. It is believed that this caste was aware of their falling numbers and took steps to preserve their knowledge by engineering it into the genetic structure of their slaves. This lasting legacy allowed the Orks to retain their high level of technology in later years by way of artificial strands of DNA which contains knowledge imprinted in their metabolism that allowed the Orks to live following the demise of their masters.
Endymine Cordat	The Endymine Cordat are a Xenos species that made attempts to coexist with the Imperium. To do this, they tentatively offered the Imperium technology seen to be anathema to Daemons. In response, the Deathwatch was unleashed and the forces of three entire Watch Fortresses invaded the worlds held by the Endymine Cordat. In the end, their civilization was shattered and the Endymine Cordat's primary world was destroyed by Exterminatus. The surviving Endymine Cordat, that lived on the few worlds they still held, later devolved into a feral society and their remaining gene pools were barely large enough to stave off their extinction.
Shrive-wrack	The Shrive-wracks are a Xenos species known to inhabit Space Hulks.
Hrud	Some text passages and/or images of this article have been removed due to insufficient Citations and placed under Quarantine on this article's Discussion page until proper citations have been provided. You can help to restore them to the article by finding the correct citations and re-integrating the quarantined text and/or images as described in the Help article on citations. The Hrud (also known as the Temporaferrox[24b] and by the scientific name Troglydium hrudii) are a mysterious xenos race. Described with labels such as chronomantic[23a] and chronophagic[26b], they have the ability to manipulate the flow of time through both technological and biological means. The Imperium first encountered the Hrud during the Great Crusade.[8a] The earliest Imperial reports labeled them as the 'nocturnal warriors of Hrud', however Xenologist Janus Draik describes the Imperial records as being unclear on whether Hrud was intended as the name of their homeworld or the name of their species.
Phycene Skur	The Phycene Skur are said to be a sentient Xenos species, who have humanoid upper bodies and serpentine tails. However there is some doubt, as to whether the species truly exists. The Imperium's only known encounter with the Skur occurred, when they invaded Salhad and began butchering its nomad population. The nomads described the Xenos as having descended upon Salhad, while being bathed in holy light and that they were beautiful and wore dazzling mirrored armor. The Skur are said to have fed hungrily on the slain nomads' intestines and when wounded they leaked flames instead of blood. However the Rogue Trader and Xenologist Janus Draik, has done research on the Skur, which led him to believe they do not exist. This is because Salhad's nomads indulge in week-long fasts and mainly ingest hallucinogens when they do eat. After learning this, Draik wondered how the nomads' claims were ever taken seriously and he has declared the Skur to be nothing more than a fantasy.
Sepolcrali	The Sepolcrali are a race of worm-like Xenos encountered by the Imperium on the planet of Thermia V. They have serpentine or worm-like appearance. Most often they attack under the cover of sandstorms, like ghosts hiding in the veils of sand. When they are searching for a scent of their victims they rise up at one end of their bodies, tasting the air. However, the greatest danger - is their way of attacking. When they kill the victim with their jaws, they dissolve in the air and plunge straight down through its throat. Then after a few minutes the victim again rises to his feet, like an undead, and begins to grow, sometimes reaching a height of at least 30 feet with appropriate bulkness. The possessed victim also attacks other nearby victims grabbing them and hurling them toward the mass of other Sepolcrali so that they also possess them. This process is repeated until all the Sepolcrali and their slave vessels would be completely destroyed. On the planet of Thermia V (where the local citizens called Sepolcrali the dust worms) despite the participation of the Blood Angels and Mephiston himself, who killed a lot of Sepolcrali, the Imperium armies were forced to withdraw and left the planet to xenos.
Noisome Reek	The Reek, also known as the Noisome Reek, are a race of aliens that form part of the Worldweave of the Noisome Reek, a fledgling empire that is beginning to conquer Imperial space. Among the Reek's noted engagements with Mankind are skirmishes with members of the Arcadius dynasty of Rogue Traders. A voidswarm of Reek encountered the forces of Abad Gerrit of the Arcadius at the Battle of Ghallenburg. Abad managed to single-handedly stem the tide of the xenos' interface vessels as they made planetfall. Members of this race are known to have occupied the Si'coa system that fell under the dominion of the Tau Empire. This was until the arrival of Aun'Va who instilled within the Fire Warriors a righteous rage which they turned against the hateful Reek which led to them being eliminated at Si'coa.
C'tan	The C'tan (Eldar Yngir) are beings of pure energy that form a fundamental constant of the universe. Said to be the first beings in existence, they led the Necrons in their war against against the Old Ones before their followers turned on them and shattered most of them into shards to be used as weapons of war.[25a] It is said that the C'tan were born during the creation of the universe itself, formed of the insensate energies unleashed in the churning mass of unimaginable force. It was long before the planets first formed and cooled that the first self-aware entities emerged from the seas of plasma and solar flares. While these creatures would later be known as the C'tan, during the early stages they bore little resemblance to the terrifying entities they would later become. At these early stages they were merely monstrous parasites suckling upon the stars that bore them, shortening their lives by uncounted millennia. In time, these star vampires learned to fly on diaphanous wings of magnetic flux, leaving their birthplaces drifting to new feeding grounds. They paid no heed to solid matter for the internal fires and electromagnetism of the new-born planets were insufficient to register their on their monstrous hunger. These beings continued their benign existence with little conception of the universe until the intervention of the Necrontyr. Since the earliest times the Necrontyr had studied the stars to understand their baleful energies, seeking some power to unleash upon their bitter enemies, the Old Ones, during the War in Heaven and find a cure for their short lifespans. The Necrontyr, having been defeated by the Old Ones and scattered to the halo stars. had fallen into civil war, the second such War of Secession.[25a] It was during this period that the Necrontyr under their Silent King Szarekh[25a] had perceived anomalies in the oldest dying stars. They had discovered a sentience more ancient than any corporeal lifeform in creation; beings of pure energy in the complex skeins of etheric energy. These beings found feeding upon the solar flares and magnetic storms of bloated red giants were perceived as the progeny of the Necrontyr death-god, who would act as weapons of retribution to cast down the Old Ones. These beings would come to be known as the C'tan, Star Gods in the Necrontyr language.
Dvorgite	The Dvorgite are a sentient Xenos species that raided Imperial mining asteroids during the Nachmund Rift War. They are ferocious creatures whose blood-parties have come into conflict with other space faring races, including Craftworld Aeldari.
Sub	Subs (Homo Sapiens Deformum) are a strain of abhuman found in the Imperium. Known to be hideous to the point of being the frequent victim of Ecclesiarchy purges, Subs regularly live in constant fear for their lives. Despite this, several groups are still known to be loyal to the Imperium and seek redemption in battle. They are often useful despite their appearance, utilizing mutations that have practical uses on worlds with harsh local conditions. These Subs are known to be zealous warriors, and are far more numerous than the High Lords of Terra realize.
Slaugth	The Slaugth are a xenos race, vaguely humanoid in shape, covered in hundreds of half-melded maggot-like worms. Covered in viscous mucus, they are impervious to all but the most extreme injury. The Slaugth are believed to be impossibly ancient, likely native to the Calixis Sector long before the arrival of Mankind. Much of their known activity takes place around the region of the Hazeroth Abyss that consists of cursed space and dead stars. Their true homeworld is, however, unknown and may not be located within the Abyss.[5a] Their origins are largely unknown to the Imperium though Rogue Traders and xeno-savants believe that any empire that they hold lies far out the Trailing Halo Stars. The circumstances of the first contact between mankind and the Slaugth is unknown, though some sources claim that they have been encountered on the edge of Imperial space as far back as the Age of Strife.[1b] The abundance of humans in the galaxy has led to them becoming the favoured prey of the Slaugth. Despite this, they seem content to use infiltration and human agents to bring about their incomprehensible plans.[5a] Many of the encounters with these xenos follow the same pattern, with black, tenebrous vessels entering into Imperial space, where they wreak havoc on isolated outposts or shipping lines. The Slaugth's victims are either left behind as mutilated bodies or disappear altogether. In other encounters, the Slaugth give their vile technologies to renegade humans in exchange for slaves.[1b] Those Imperial worlds that border the Hazeroth Abyss often tell the stories describing the Slaugth as the "worms that walk", a nightmare that emerges from the depths of the Abyss to kill the living and feast on the dead. Ultimately, however, the upper echelons of the Imperium dismiss them as little more than a myth.[5a]
Tushepta	The Tushepta is a Xenos race that came into contact with the Imperium during the course of the Great Crusade.
Genestealer Patriarch	A Genestealer Patriarch is the founder and leader of a Genestealer Cult. The Patriarch is always the oldest purestrain of the cult. As the first Genestealer of the group, all other members are psychically linked through it; this leads it to attain a level of intelligence much higher than that of other Genestealers. Over time, it can become a very powerful psyker; it grows in size and strength, gaining a bloated and immobile appearance. A Patriarch whose cult is on the verge of taking over a world becomes a psychic beacon, attracting Tyranids to the planet; as the Tyranids approach it will fall under the power of the Tyranid Hive Mind, and begin leading the cult in attacks on vulnerable positions to facilitate the inevitable invasion. It is assumed that it knows nothing of its role in the Tyranid invasion, and once the Tyranids are successful, it and the brood are also consumed by the Hive Fleet. Twice the height of a Space Marine and with strength enough to slice an Ogryn into bloody chunks, this creature is a leering nightmare of tooth and claw. In a flurry of whipping limbs and diamond-hard talons the Patriarch can tear through platoons of heavily armoured warriors and even light vehicles. Yet it is the hypnotic spell with which it binds its chosen hosts that mark it out as perhaps the most dangerous Tyranid yet encountered by the Imperium. The uncanny powers of the Patriarch make it a fearsome puppet master, a threat so pervasive it has a xenocode threat designation unto itself. By spreading the Genestealer Curse, this creature is capable of destroying not just warriors and war machines, but entire worlds.
Morgauth	The Morgauth are a scavenging reptilid race of xenos, not known for their subtlety. The Morgauth Burn Caster is a hybrid weapon created from xenos and Imperial technology. The weapon is often used by pirates and renegades operating past the Fydae Great Cloud in boarding actions and has the stopping power to kill an Ork. The Burn Caster rapidly fires self-propelled thermic rounds.
Vargah	The Vargah are a Xenos species, that are psychic predators and hypnotic flesh changers, who mold and meld their prey for amusement. They have six glossy, black eyes arrayed around their mottled mouth parts and prefer to use cliff warrens to conceal themselves. In M42, the Deathwatch Captain Ghyros led a successful extermination campaign, against a large number of Vargah that infested a volcanic world.
Hullghast	Hullghasts bear extensive physical mutations. They have hairless, leathery skin, and arms ending in vicious talon-like claws. Their faces have oversized mouths filled with layers of huge teeth. Their bodies are covered pustules of flesh, which erupt in tusks and horns. Hullgasts' mutations make them highly resistant to the various environmental hazards encountered within a ship's Black Holds or in derelicts drifting through space, and they display almost total immunity to most forms of toxins, mild radiation, and gravity fluctuations. Hullghasts inhabit forgotten, abandoned decks of voidships, as well as space hulks. Unlike the furtive, scavenging Ghilliam, they are highly aggressive, and prefer feeding on crewmen that go too deep below decks; they are also known to prey on Ghilliam, although they seem to prefer the flavor of unmutated meat. When unable to do so, they feed on each other.
Agusa	The Agusa were a sentient snout-nosed Xenos species, who resided on Clabrus V and suffered repeated attacks by the Cythor Fiends. These invading Xenos' skin gives off a foetid stink that has a paralytic effect on all who come in close proximity to it. The Agusa, though, claimed that by wearing a scented poultice over their snouts, they would be able to ward off the Cythor Fiends' debilitating aroma. Because the Fiends eventually wiped out the Agusa, however, the Rogue Trader and Xenologist Janus Draik, is inclined to disregard their claims.
Ulindi	The Ulindi were a Xenos species that were wiped out by other neighboring species long before the rise of the Imperium. The Man of Iron UR-025 encountered the Ulindi prior to their extinction and described them as a moderately successful species that were tedious conversationalists.
False Necron	False Necrons are complex, artificial-intelligence-driven Necron machines, that serve as advisers to their Dynasties' ruling nobles. They are simulacra of their Dynasties' luminary Necrontyr members, who died before the C'tan converted their species into the Necron.[1a] False Necrons were leaders of their society, politicians, generals and other deceased Necrontyr that the Necrons deemed worthy of remembrance and reconstitution into machine bodies. In this way, the wisdom of the species' past was allowed to be preserved and brought to immortality. Nevertheless, the machines' Necrontyr personalities have only been approximated based on other Necron's recollections of them. As a result, there will be differing opinions on how accurate a False Necron truly is to the Necrontyr on whom it is based. As well as their thoughts and behaviours, the False Necrons' advanced programming has them mimic how their Necrontyr were perceived to have carried themselves. This leads some to forever stand proudly, while other machines remain hunched over. While False Necrons resemble their species, and are also made of Living Metal, they are clumsy and awkward in their movements. Despite knowing they are simulacra and lacking the poise of a true Necron, the machines consider themselves to be alive in a way. As a result, False Necrons will fight to protect themselves or their Dynasties, even if that means firing their ornate weapons against their fellow Necrons[1a]. Also, despite being machines, False Necrons can still be infected by the Flayer Virus.[1b] False Necrons were originally created, when the Necrons still served the C'tan, during the War in Heaven. They served their Dynasties as advisors and the mere mention of the C'tans, would cause the machines to offer sigils of their obeisance to the Star Gods. When the Necrons turned upon their former masters, the False Necrons continued in their role as advisors. However the machines were ingrained by the Necrons with engrams to prevent them from completing their sigils to the C'tan. When the Great Sleep began, the False Necrons were shut down and placed in tombs, that were located close to their Dynasties' nobles. Because they were machines, though, the False Necrons' tombs were far less elegant. When the Necron back to awaken millennia later, the False Necrons resumed their roles as advisors.[1a]
System	System is a catch-all term used by the Imperium to classify the various forms of star system that make up the galaxy. Each system is formed of at least one star and the stellar material that orbits it. Planetary systems are a minority of the systems that make up a sub-sector. Even within planetary systems with several planets, worlds inhabitable by humans are low in number. Of the ones that are inhabitable, or worth exploiting, the majority are mining, agri and civilised worlds. Relatively few systems possess Forge or Hive worlds, making those that do strategically important. Uninhabited systems can also have strategic importance, depending on their galactic location. Traveling between systems requires use of the Warp. Many systems are linked by Warpspace channels, which significantly speed up travel time.
Men of Gold	The Men of Gold are a mysterious subset of humanity. According to ancient sources, the Men of Gold appeared sometime during the Age of Terra, joining the Emperor as he watched and nurtured humanity. To watch and learn from mankind, the Golden Race spread across the face of Old Earth, multiplying and establishing order and civilization on the anarchy of nature. Though physically and emotionally superior, the Golden Race eventually created the Men of Stone for the purpose of colonizing the galaxy. In time, the Men of Stone supplanted the Men of Gold, and by M21 their influence had waned. It is ultimately unknown what happened to the Men of Gold.
Drugh	The Drugh are a large "larval" invertebrate or worm-like xenos-race, with advanced psionic ability, that lives on Pyrus I. As a subterranean species they infested Mundus Planus. It is believed that their original homeworld was destroyed by the Imperium towards the end of the Great Crusade. The examination of the Drugh Mouthparts, a preserved bony structure, by Magos Biologis Sharle Darvus, suggests it is a dual defecation/consumption organ.
